Question,Answer
 Можно ли использовать материнский капитал на монтаж водопроводной и канализационной системы в собственном частном доме?,"Средства материнского (семейного) капитала можно направить на улучшение жилищных условий, а именно: "
Потерян договор покупки дома и дополнительное соглашение. Что делать?,"Если утерянные правоустанавливающие документы оформлялись до 1998 года, то собственник либо его доверенное лицо может обратиться в «ЗабГеоИнформ Центр» по адресу: г. Чита, ул. Столярова, 42 за архивной справкой, телефон 35-17-38. Стоимость услуги при стандартном сроке выдачи 30 дней – 833 рубля, за ускоренное изготовление документов взимается дополнительная оплата. Если же документы оформлялись после 1998 года и прошли государственную регистрацию, то в Центре 'Мои документы' Вы можете заказать копию договора или иного документа, содержащегося в реестровом деле Регистрационной палаты, стоимость 300 руб. за один документ. Срок предоставления сведений 5 рабочих дней."
Можно ли получить бесплатный гектар в Забайкальском крае? Что для этого нужно? Куда обращаться?,"На площадке МФЦ по Забайкальскому краю в настоящее время осуществляется консультирование по вопросу получения земли в безвозмездное пользование на Дальнем Востоке, прием заявлений пока не осуществляется по техническим причинам. Приглашаем Вас для получения консультации по данной услуге в офисы МФЦ в г. Чите и в районах Забайкальского края. Центр «Мои документы» в г. Чите расположен по адресам: ул. Генерала Белика, 12 и ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без технических и обеденного перерывов. Обращаем Ваше внимание на то, что первая и вторая пятница месяца не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем уточнить график работы Центр по телефону Центра телефонного обслуживания: 8-800-234-01-75 и 8(3022)211010. Дополнительно сообщаем, что на площадке центра доступны услуги в порядке предварительной записи, подробности Вы можете уточнить по выше указанным телефонам.  Для подачи заявления о предоставлении в безвозмездное пользование земельного участка необходимы: 1. копия документа, удостоверяющего личность заявителя либо копии документов, удостоверяющих личность каждого заявителя - в случае, если с заявлением обращаются несколько граждан; 2. документ, подтверждающий полномочия представителя заявителя, в случае, если с заявлением обращается представитель заявителя. Заявление и схема размещения земельного участка будут оформляться в момент Вашего обращения в МФЦ. "
подскажите пожалуйста можно у вас подать заявление на перечисление средств с мат.капиталла в счет погошения ипотеки?,"Вы можете обратиться в Центр 'Мои Документы' и подать документы на погашение основного долга и уплату процентов по кредиту (займу), в том числе ипотечному, на приобретение или строительство жилья за счет средств материнского (семейного) капитала. Данную услугу Вы можете получить в Центре «Мои Документы» по адресам: ул. Генерала Белика, 12 или ул. Бутина, 72 с понедельника по субботу с 8:00 до 18.00, во вторник с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением центра рекомендуем уточнить график приема по телефонам: 21-10-10, 8-800-234-0175."
"Прочитала на вашем сайте, что можно подать заявление в МФЦ на получение земельного участка на Дальнем Востоке. Подскажите, как это можно сделать?","В настоящее время Вы можете получить консультацию по данной услуге в Центре «Мои Документы» по адресам: ул. Генерала Белика, 12 или ул. Бутина, 72 с понедельника по субботу с 8:00 до 18.00, во вторник с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением центра рекомендуем уточнить график приема по телефонам: 21-10-10, 8-800-234-0175. Прием документов на получение земельного участка в безвозмездное пользование в МФЦ пока не осуществляется  по техническим причинам. О начале приема заявлений от заявителей мы дополнительно сообщим на сайте МФЦ.   "
"Могу ли я получить услугу по бесплатной юридической помощи в офисе на Бутина, 72? Возможно ли записаться предварительно? И кто меня примет?","На базе Центра 'Мои документы' предоставляется услуга 'Оказание бесплатной юридической помощи определенной категории граждан'.  Для получения данной услуги Вы можете обратиться по адресу: г. Чита, ул. Генерала Белика,12. Адвокаты ведут приём по вторникам, средам и четвергам с 9-00 до 17-00, обеденный перерыв с 12-00 до 13-00. К сожалению, в Центре 'Мои документы', расположенному по адресу Бутина,72 услуга по бесплатной юридической помощи не предоставляется.Дополнительно сообщаем, что получить услугу могут только льготные категории граждан. Подробную информацию об услуге Вы можете найти на нашем сайте в разделе 'Услуги' -  Оказание бесплатной юридической помощи определенной категории граждан. "
"Подскажите пожалуйста, до какой даты необходимо уплатить налоги на недвижимость, автотранспорт, и как лучше это сделать? Могу ли я это сделать через МФЦ?","  Заплатить налог на имущество и автотранспорт нужно до 1 декабря 2016 года. Осуществить оплату можно через Личный кабинет сайта Налоговой Службы nalog.ru/rn75. Если Вы не зарегистрированы в личном кабинете, то можете обратиться для подачи документов для получения пароля для пользования личным кабинетом в Центр 'Мои Документы' по адресам: ул. Генерала Белика, 12 или ул. Бутина, 72 с понедельника по субботу с 8:00 до 18.00, во вторник с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением центра рекомендуем уточнить график приема по телефонам: 21-10-10, 8-800-234-0175. При себе необходимо иметь паспорт и адрес электронной почты, пароль для пользования будет отправлен Вам в течении 14 дней."
"Скажите, пожалуйста, могу ли я при помощи сайта МФЦ проверить готовность документов?","Здравствуйте!Вход в личный кабинет на сайте МФЦ осуществляется через ЕСИА (портал Госуслуг).В личном кабинете Вы можете видеть все обращения, зарегистрированные в АИС ЦПГУ МФЦ., в том числе внутренний и внешний статус заявки (обработка, доработка, отправлено курьером, выдача, завершено, архив и т.д.).В случае, если стоит статус 'Выдача', значит, Ваши документы готовы и Вы можете их получить"
Какие услуги для бизнеса предоставляются в МФЦ?,"Предприниматели могут получить в Центре 'Мои документы' услуги в области недвижимости, услуги Налоговой инспекции, Фонда социального страхования, Фонда поддержки малого предпринимательства, Федеральной Корпорации по развитию малого и среднего предпринимательства и мн.др. На сайте МФЦ создан раздел «Услуги» - «Жизненные ситуации», в котором есть вкладка 'Открытие своего дела' и 'Предпринимательская деятельность'. В  данных разделах Вы можете получить полную информацию обо всех услугах, предоставляемых в МФЦ в этих ситуациях. "
"Где и как расторгается брак между супругами при наличии ребенка ( 14 лет), при заявлении на алименты? Какой перечень документов и можно подать документы в МФЦ? Спасибо.","В Вашем случае брак будет расторгнут в судебном порядке, так как у Вас общий несовершеннолетний ребенок. К сожалению, на площадке МФЦ ведется прием заявлений о расторжении брака только по взаимному согласию супругов, не имеющих общих детей, не достигших совершеннолетия. "
"Скажите пож-та, сколько стоит в Вашем центре заполнить налоговую декларацию (по форме 3-НДФЛ)? ","Услуга по заполнению декларации по форме 3-НДФЛ в офисах Центра 'Мои документы' предоставляется бесплатно. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам Контакт-центра МФЦ 21-10-10 или 8 800 234 0175 (звонок бесплатный), Вы можете также предварительно записаться на прием к специалисту. "
"Подскажите, можно ли у Вас в офисе  подать заявление на получение паспорта и всех остальных документов при смене фамилии? И какие документы для этого нужны?","Да у нас в офисе можно подать заявление на получение паспорта. Перечень необходимых документов: 1. Заявление по ф. № 1 П(заполняется на месте), 2. Две фотографии 35*45 мм(цветные/чёрно-белые), 3. Паспорт гражданина РФ, 4. Квитанция оплаты государственной пошлины на новую фамилию, 5. Документы, необходимые для проставления отметок в паспорте: - военный билет, - свидетельствоа о рождении детей в возрасте до 14-ти лет, - свидетельство о регистрации брака/расторжении брака Срок получения услуги- 10-дней по месту регистрации со дня приема подразделениями органа всех необходимых документов , 1 месяц, в случае, если заявитель обращается не по месту регистрации."
Здраствуйте в какой срок проходят выплаты после подачи документов?,"Да у нас можно подать заявление . Для этого необходимо предоставить документы- паспорт мамы,папы, трудовая книжка, справка с места работы мужа о том , что он не получает ежемесячного пособия , номер счета в кредитной организации, свидетельство о рождении всех детей и заполнить заявление установленного образца."
" Для трудоустройства на работу у меня требуют справку об отсутствии судимости из полиции. Скажите, пожалуйста,занимаетесь ли Вы этим и сколько будут стоить Ваши услуги?","Для получения справки о наличии (отсутствии) судимости Вы можете обратиться в офисы Центра 'Мои Документы', расположенные по адресам: г. Чита, ул. Генерала Белика,12, ул. Бутина,72. Режим работы: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00. Дополнительно сообщаем, что в Центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам Контакт-центра МФЦ 21-10-10 или 8 800 234 0175 (звонок бесплатный). Государственная услуга предоставляется бесплатно в срок – 30 календарных дней. "
" мне пришло СМС, что моя справка о кадастровой стоимости готова. Могу ли я получить справку в МФЦ в Чите, если сдал документы в МФЦ в Карымской? ","Вы могли бы получить результат в МФЦ в г. Чите, если сдали документы в МФЦ в Карымской, если бы во время приема документов Вы сообщили, что хотите получить результат в МФЦ в г. Чите. Если Вы об этом не сообщили, то результат необходимо получить там, где Вы обратились за услугой, т.е. в Карымском филиале МФЦ. Режим работы филиала: понедельник - четверг: с 8-00 до 17-00, пятница - с 8-00 до 14-00. Суббота, воскресенье - выходные дни. Документ, являющийся результатом предоставления услуги, будет храниться в МФЦ 3 месяца."
нужно офрмить документы на квартиру в собственность,"Для получения интересующей Вас услуги Вы можете обратиться в офисы Центра 'Мои Документы', расположенные по адресам: г. Чита, ул. Генерала Белика,12, ул. Бутина,72. Режим работы: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00. Дополнительно сообщаем, что в Центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам Контакт-центра МФЦ 21-10-10 или 8 800 234 0175 (звонок бесплатный). Кроме того, Вы можете обратиться непосредственно в ​Филиал федерального государственного бюджетного учреждения «Федеральная кадастровая палата Федеральной службы государственной регистрации, кадастра и картографии» по Забайкальскому краю по адресу: г. Чита, ул. Анохина, 63, помещение 1, вход со стороны ул. Амурской, телефон 35-38-16."
"Где получить справку , о том что у нас печное отопление, для выписки лесобилета на дрова?","К сожалению, данная услуга не предоставляется на базе Центра 'Мои Документы', рекомендуем Вам обратиться в Администрацию по месту жительства."
какая на сегодняшний день норма предоставления и учетная норма площади жилого помещения в Забайкальском крае,"Решением Думы городского округа 'Город Чита' от 10 ноября 2005 г. № 185:- учетная норма жилого помещения установлена в размере 14 кв.м. и менее общей площади жилого помещения на 1 человека - в целях принятия на учет граждан, нуждающихся в улучшении жилищных условий;- норма предоставления жилого помещения по договору социального найма, исходя из которой определяется уровень обеспеченности граждан общей площадью жилого помещения, установлена в размере: - не менее 25 кв.м. общей площади жилого помещения - для одиноко проживающего человека, - 14 кв.м. общей площади жилого помещения на одного человека - для семьи, состоящей из 2-х и более человек. "
подскажите пожалуйста в вашем центре есть бесплатные юридические консультации?,"Вы можете обратиться в центр 'Мои Документы' по адресу: г. Чита, ул. Генерала Белика, 12 для получения услуги по оказанию бесплатной юридической помощи. Прием граждан осуществляется каждый вторник, среду, четверг с 9.00-17.00. Перед посещением центра рекомендуем уточнить график приема по телефонам: 21-10-10, 8-800-234-0175.Отметим, что перечень граждан, которые имеют право на на получение бесплатной юридической помощи приведены в Федеральном законе от 21 ноября 2011 г. № 324-ФЗ «О бесплатной юридической помощи в Российской Федерации» и Законе Забайкальского края от 10 октября 2012 г. № 701-ЗЗК «Об оказании бесплатной юридической помощи гражданам Российской Федерации на территории Забайкальского края». "
Может ли оформить опекунство родственник? Например внучка за дедушкой родным. И трудовая книжка после оформления всех документов остается у опекуна?,"К сожалению, данная услуга на базе центра «Мои Документы» не оказывается. По вопросам оформления опекунства рекомендуем Вам обратиться  к специалистам Министерства социальной защиты Забайкальского края по адресу: г. Чита, ул. Курнатовского, д. 7, телефон: 35-50-85, если же Вас интересует вопрос оформления ухода за нетрудоспособным гражданином, то, в этом случае, Вам следует обратиться в Отделение Пенсионного фонда РФ по Забайкальского края по адресу: г. Чита, ул. Чкалова, 160 б, телефон: 36-94-04."
Какие возможности дает подключение к Личному кабинету налогоплательщика для физических лиц? Предоставляется ли услуга по подаче заявления на подключение к данному Интернет сервису в вашем филиале МФЦ?  ,"Да в Борзинском филиале данная услуга предоставляется. Возможности личного кабинета для физических лиц:—  скачать программы для заполнения справки 2-НДФЛ ;—  скачать программы для заполнения декларации 3-НДФЛ;— отслеживать статус камеральной проверки налоговых деклараций по форме  3-НДФЛ;— оплатить задолженность по налогам;— осуществлять контроль за состоянием расчетов с бюджетом;— получать актуальную информацию об объектах имущества и транспортных средствах, о суммах начисленных и уплаченных налоговых платежей, о наличии переплат, о задолженности по налогам перед бюджетом;— получить консультацию налоговых органов без личного посещения"
Положено ли моей несовершеннолетней дочери единовременное и ежемесячное пособие на ребёнка,"Ваша дочь имеет право на получение единовременного пособия при рождении ребенка, ежемесячного пособия по уходу за ребенком и ежемесячного пособия на ребенка до достижения им 16-летнего возраста (на учащегося общеобразовательного учреждения – до окончания им обучения, но не более чем до достижения им возраста 18 лет). С перечнем необходимых документов Вы можете ознакомится на официальном сайте Центра 'Мои документы' (www.mfc-chita.ru) в разделе Услуги - Услуги по органам - Министерство социальной защиты населения Забайкальского края, Государственное казенное учреждение «Краевой центр социальной защиты населения» Забайкальского края. Для получения данной услуги Вы можете обраться в Центр «Мои документы» по адресам: г. Чита, ул. Генерала Белика, 12, ул. Бутина, 72. Режим работы Центра: с понедельника по субботу с 8-00 до 18-00, по вторникам с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением Центра рекомендуем уточнить по телефону график приёма, а также по телефону можно записаться предварительно. Контактные номера телефонов: 21-10-10; 8-800-234-0175. "
Скажите пожалуйста можете ли Вы оформить домовую книгу на частный дом?,"При регистрации по месту жительства в частном доме необходимо наличие домой книги. Если Вы регистрируетесь впервые, либо регистрируете кого-то, в этом случае пишется заявление от всех собственников дома на регистрацию домовой книги, к которому прилагаются паспорта всех собственников и их свидетельства о собственности/ выписки на дом. Домовую книгу Вы можете приобрести самостоятельно в ЦНТИ по адресу: Профсоюзная,20, либо в одном из филиалов Центра «Мои Документы» по г. Чите.Для получения данной услуги Вы можете обраться в Центр «Мои документы» по адресам: г. Чита, ул. Генерала Белика, 12, ул. Бутина, 72. Режим работы Центра: с понедельника по субботу с 8-00 до 18-00, по вторникам с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением Центра рекомендуем уточнить по телефону график приёма, а также по телефону можно записаться предварительно. Контактные номера телефонов: 21-10-10; 8-800-234-0175."
Какие док-ты нужны для получения материнского капитала на второго ребенка?,"Для получения государственного сертификата на материнский (семейный) капитал необходимо предоставить следующий пакет документов:1) заявление о выдаче государственного сертификата на материнский (семейный) капитал (заполняется на месте);2) документы (их копии, верность которых засвидетельствована в установленном законом порядке), подтверждающие изменение персональных данных заявителя в случае необходимости подтверждения родственных отношений с детьми:- свидетельство о браке,- свидетельство о перемене фамилии (имени, отчества),- свидетельство о расторжении брака;3) документ, удостоверяющий личность (паспорт гражданина РФ);4) свидетельство о рождении (всех детей);5) СНИЛС.Все документы предоставляются в оригиналах и копиях.Для получения данной услуги Вы можете обраться в Центр «Мои документы» по адресам: г. Чита, ул. Генерала Белика, 12, ул. Бутина, 72. Режим работы Центра: с понедельника по субботу с 8-00 до 18-00, по вторникам с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением Центра рекомендуем уточнить по телефону график приёма, а также по телефону можно записаться предварительно. Контактные номера телефонов: 21-10-10; 8-800-234-0175."
"Мы сдали свидетельство о праве на наследство по закону, право не было зарегистрировано, адрес у объекта изменился, нотариус внесла прежний адрес, произошло противоречие. Как быть?","В данном случае нужно вернуть документы с государственной регистрации, внести изменения в сведения Кадастровой палаты и обратиться к нотариусу. Затем снова подать документы на государственную регистрацию, при этом государственная пошлина оплачивается заново."
По материнскому капиталу приобретен жилой дом и земельный участок. Как распределить доли и нужно ли составлять нотариальное соглашение об определении долей?,"Нотариальное соглашение об определении долей составляется в том случае, если супруги состоят в браке (ст. 35 Семейного Кодекса РФ), и доли распределяются на всех членов семьи. На земельный участок составляется договор дарения. Если мама (не в браке), самостоятельно приобрела данные объекты недвижимости и распределяет доли, то тогда составляется простое соглашение об определении долей. "
Я хочу обменять приватизированную квартиру на меньшую. Квартира находится в долевой собственности. Нужно ли мне обращаться к нотариусу  за удостоверением  договора мены?,"Да, в данном случае необходимо обратиться к нотариусу. Сделки по отчуждению долей в праве общей собственности на недвижимое имущество, в том числе при отчуждении всеми участниками долевой собственности своих долей по одной сделке, подлежат нотариальному удостоверению."
"Подскажите, если супруги в разводе более 3х лет, требуется ли в этом случае согласие супруга на совершение сделки по отчуждению недвижимого имущества, приобретенного в период брака?  ","Недвижимое имущество, приобретенное в период брака, имеет режим совместной собственности. Согласно ст. 35 Семейного Кодекса РФ при совершении одним из супругов сделки по распоряжению общим имуществом супругов, необходимо получить нотариально удостоверенное согласие другого супруга. В том случае, если супруги находятся в разводе и раздел имущества произведен не был, то для государственной регистрации сделки по отчуждению имущества необходимо предоставить нотариально удостоверенное согласие вашего супруга."
 прошу ответить на мой вопрос: можно получить согласование перепланировки жилого помещения в электронном виде через портал государственных услуг?,"Для получения услуги Вы можете подать заявление в электронном виде через Портал государственных услуг.  Информируем Вас о том, что документы, представленные в электронном виде для получения муниципальной услуги, необходимо подписать электронной цифровой подписью.  "
"Добрый день подскажите, я могу получить справку по материнском капиталу в Чите, сертификат получала в Сретенск?","К сожалению, данная услуга на базе центра «Мои Документы» не оказывается. Рекомендуем Вам за справкой об остатке средств материнского капитала обратиться  к специалистам Пенсионного фонда по адресу: г. Чита, ул. Чайковского, 24, подробности  по тел. 36-94-04."
"подскажите пожалуйста, как и где мне можно найти информацию есть ли в отношении меня исполнительные производства и ограничения на выезд за границу","Получить информацию, есть ли в отношении Вас исполнительные производства, можно в центре «Мои документы», на официальном сайте Управления ФССП (банк данных исполнительных производств - http://r75.fssprus.ru/iss/ip) или районном отделе судебных приставов.  С июня 2013 года установлен минимальный размер задолженности, при которой может применяться мера «ограничение на выезд за границу», которая составляет 10 000 рублей. Процедура отмены временного ограничения на выезд должника после оплаты долга составляет порядка 10 дней.Для получения данной услуги Вы можете обратиться в Центр «Мои документы» по адресам: г. Чита, ул. Генерала Белика, 12, ул. Бутина, 72. Режим работы Центра: с понедельника по субботу с 8-00 до 18-00, по вторникам с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением Центра рекомендуем уточнить по телефону график приёма, а также по телефону можно записаться предварительно. Контактные номера телефонов: 21-10-10; 8-800-234-0175."
Мой сын потерял ИНН. Возможно ли получить дубликат? Услуга бесплатная?,"Возможно. Для получения дубликата ИНН необходимы следующие документы:Срок оказания услуги 5 рабочих дней.Для получения данной услуги Вы можете обратиться в Центр «Мои документы» по адресам: г. Чита, ул. Генерала Белика, 12, ул. Бутина, 72. Режим работы Центра: с понедельника по субботу с 8-00 до 18-00, по вторникам с 8:00 до 20:00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением Центра рекомендуем уточнить по телефону график приёма, а также по телефону можно записаться предварительно. Контактные номера телефонов: 21-10-10; 8-800-234-0175."
"Скажите, пожалуйста, можно ли подать в МФЦ документы на регистрацию дарения доли в праве собственности в простой письменной форме?","В соответствии со ст. 24 Федерального закона № 122-ФЗ «О государственной регистрации прав на недвижимое имущество и сделок с ним» сделки по отчуждению долей в праве общей собственности на недвижимое имущество, в том числе при отчуждении всеми участниками долевой собственности своих долей по одной сделке, подлежат нотариальному удостоверению.Для получения данной услуги Вы можете обратиться в Центр «Мои документы» по адресу: г. Чита, ул. Генерала Белика, 12. Режим работы нотариуса с 10-00 до 17-00, обеденный перерыв с 13-00 до 14-00. Перед посещением Центра рекомендуем уточнить по телефону график приёма: 21-10-10; 8-800-234-0175. "
"Подскажите, как можно встать на учёт безработному, если я уволился 3 месяца назад? Какой размер пособия и в течение какого срока необходимо зарегистрироваться в качестве безработного?","В соответствии с Правилами регистрации безработных граждан, утвержденными постановлением Правительства РФ от 7 сентября 2012 г. N 891, постановка на регистрационный учет осуществляется государственными учреждениями службы занятости населения при предъявлении следующих документов:"
"Я живу в индивидуальном жилом доме, это место моего постоянного жительства. Не подскажете, возможен ли перевод помещения (две комнаты) в индивидуальном жилом доме в нежилое? ","На основании ч.2 ст. 22 Жилищного кодекса РФ от 29.12.2004 № 188-ФЗ, перевод жилого помещения в нежилое помещение не допускается, если переводимое помещение является частью жилого помещения либо используется собственником данного помещения или иным гражданином в качестве места постоянного проживания, а также если право собственности на переводимое помещение обременено правами каких-либо лиц. Таким образом, перевод в нежилое помещение части индивидуального жилого дома не возможен.  "
"У меня однокомнатная квартира на первом этаже, хочу сделать из нее нежилое помещение, чтобы сдавать в аренду, какие документы нужны? И куда обращаться?  ","На базе Центра 'Мои документы' предоставляется услуга по принятию документов, а также выдача решений о переводе или об отказе в переводе жилого помещения в нежилое или нежилого помещения в жилое помещение. Перечень необходимых документов: 1. Заявление 2. Паспорт заявителя/представителя 3. Доверенность 4.Правоустанавливающие документы на переводимое помещение (подлинники или засвидетельствованные в нотариальном порядке копии); 5. Справка из паспортного стола, подтверждающая, что в квартире никто не прописан; 6. План переводимого помещения с его техническим описанием (в случае, если переводимое помещение является жилым, технический паспорт такого помещения) – БТИ 7. Поэтажный план дома, в котором находится переводимое помещение, выданный жилищной эксплуатационной организацией - БТИ 8. Проект переустройства или перепланировки переводимого помещения, разработанный на основании договора, предусматривающего условия по ведению авторского надзора юридическим лицом или индивидуальным предпринимателем, имеющими свидетельство о допуске на проектирование и сооружение, дающее право на разработку всех необходимых разделов проекта – ЧитаГражданПроект 9. Заключение Роспотребнадзора на проект переустройства или перепланировки. 10. Заключение органа по охране памятников архитектуры о допустимости проведения переустройства или перепланировки жилого (нежилого) помещения, если такое помещение или дом, в котором оно находится, является памятником архитектуры. -Чайковского, 28 11. Заключение ОАО «Читаоблгаз», если переводимое помещение находится в газифицированном доме 12. Согласие всех собственников помещений многоквартирного жилого дома в случае уменьшения размера общего имущества Срок предоставления услуги 45 календарных дней. Услуга предоставляется бесплатно.  Центр «Мои документы» расположен по адресам: г. Чита, ул. Генерала Белика, 12; ул. Бутина, 72. Режим работы Центра: понедельник, среда, четверг, пятница, суббота с 8-00 до 18-00, вторник с 8-00 до 20-00, без обеденного перерыва. Обращаем Ваше внимание, что первая и вторая пятница не приемный день в одном из филиалов, поэтому перед посещением Центра рекомендуем уточнить график приёма по телефону горячей линии 8-800-234-01-75. Дополнительно сообщаем, что на площадке центра доступны услуги в порядке предварительной записи, подробности по телефонам: 8(3022)21-10-10, 8-800-234-0175."
